essay_id,l1_status,roberta-base-openai-detector,roberta-large-openai-detector,roberta-base-ai-text-detection-v1,chatgpt-detector-roberta
HewlettStudentEssay_real_88/063,native,0.000294,0.999531,0.000377,0.00074
HewlettStudentEssay_real_88/064,native,0.280772,0.787499,0.023656,0.014176
HewlettStudentEssay_real_88/065,native,0.000234,0.999307,0.000162,0.000437
HewlettStudentEssay_real_88/066,native,0.000209,0.999518,0.000214,0.001866
HewlettStudentEssay_real_88/067,native,0.006928,0.965118,0.000151,0.000594
HewlettStudentEssay_real_88/068,native,0.000237,0.999521,0.000151,0.000435
HewlettStudentEssay_real_88/069,native,0.000189,0.998641,0.000163,0.000426
HewlettStudentEssay_real_88/070,native,0.007364,0.965729,0.000165,0.002975
HewlettStudentEssay_real_88/071,native,0.001728,0.652553,0.000135,0.000351
HewlettStudentEssay_real_88/072,native,0.655272,0.419827,0.000139,0.000994
HewlettStudentEssay_real_88/073,native,0.000477,0.926289,0.000673,0.003112
HewlettStudentEssay_real_88/074,native,0.000255,0.999474,0.000196,0.003893
HewlettStudentEssay_real_88/075,native,0.392668,0.893681,0.00017,0.000656
HewlettStudentEssay_real_88/076,native,0.00017,0.998843,0.000215,0.003141
HewlettStudentEssay_real_88/077,native,0.000181,0.998548,0.000169,0.029344
HewlettStudentEssay_real_88/078,native,0.000169,0.999542,0.000173,0.000609
HewlettStudentEssay_real_88/079,native,0.000196,0.999307,0.000161,0.000307
HewlettStudentEssay_real_88/080,native,0.000204,0.998842,0.00019,0.001416
HewlettStudentEssay_real_88/081,native,0.00027,0.999478,0.000156,0.000548
HewlettStudentEssay_real_88/082,native,0.000187,0.992293,0.000137,0.000371
HewlettStudentEssay_real_88/083,native,0.001201,0.980328,0.003001,0.021861
HewlettStudentEssay_real_88/084,native,0.48865,0.983412,0.000247,0.086304
HewlettStudentEssay_real_88/085,native,0.102106,0.949868,0.000156,0.00049
HewlettStudentEssay_real_88/086,native,0.00019,0.999511,0.000218,0.009303
HewlettStudentEssay_real_88/087,native,0.000351,0.999512,0.002845,0.001764
CollegeEssay_real_70/000,native,0.000172,0.985887,0.883262,0.013075
CollegeEssay_real_70/001,native,0.000395,0.998876,0.932147,0.000269
CollegeEssay_real_70/002,native,0.026105,0.999414,0.999856,0.000259
CollegeEssay_real_70/003,native,0.000171,0.995929,0.989162,0.000267
CollegeEssay_real_70/004,native,0.000629,0.999402,0.012399,0.000263
CollegeEssay_real_70/005,native,0.000173,0.999518,0.532266,0.000274
CollegeEssay_real_70/006,native,0.157108,0.999197,0.053285,0.000277
CollegeEssay_real_70/007,native,0.000171,0.972377,0.002946,0.000542
CollegeEssay_real_70/008,native,0.000216,0.998176,0.016807,0.000484
CollegeEssay_real_70/009,native,0.026398,0.824839,0.001327,0.006933
CollegeEssay_real_70/010,native,0.00018,0.987133,0.019011,0.003831
CollegeEssay_real_70/011,native,0.00017,0.99881,0.072213,0.002396
CollegeEssay_real_70/012,native,0.002092,0.990638,0.00295,0.001689
CollegeEssay_real_70/013,native,0.000189,0.99953,0.140465,0.000727
CollegeEssay_real_70/014,native,0.000187,0.999546,0.850853,0.00052
CollegeEssay_real_70/015,native,0.000421,0.997237,0.014929,0.000892
CollegeEssay_real_70/016,native,0.00017,0.999512,0.920504,0.008876
CollegeEssay_real_70/017,native,0.000235,0.999501,0.026982,0.020727
CollegeEssay_real_70/018,native,0.000198,0.999528,0.004592,0.002669
CollegeEssay_real_70/019,native,0.001532,0.971715,0.031531,0.000282
CollegeEssay_real_70/020,native,0.000194,0.999549,0.054047,0.000481
CollegeEssay_real_70/021,native,0.000181,0.99908,0.99821,0.004053
CollegeEssay_real_70/022,native,0.000178,0.999542,0.999059,0.001617
CollegeEssay_real_70/023,native,0.000174,0.999112,0.016826,0.000431
CollegeEssay_real_70/024,native,0.000176,0.999507,0.644434,0.001546
CollegeEssay_real_70/025,native,0.00023,0.999419,0.410878,0.00157
CollegeEssay_real_70/026,native,0.000188,0.999515,0.236745,0.000367
CollegeEssay_real_70/027,native,0.000169,0.999477,0.855272,0.008342
CollegeEssay_real_70/028,native,0.000208,0.999448,0.404263,0.001491
CollegeEssay_real_70/029,native,0.000714,0.997194,0.025889,0.001534
CollegeEssay_real_70/030,native,0.00024,0.999235,0.152518,0.002287
CollegeEssay_real_70/031,native,0.000168,0.989488,0.001652,0.015264
CollegeEssay_real_70/032,native,0.000171,0.999331,0.713179,0.002578
CollegeEssay_real_70/033,native,0.000179,0.999291,0.01899,0.00528
CollegeEssay_real_70/034,native,0.00017,0.999287,0.129978,0.000328
CollegeEssay_real_70/035,native,0.00018,0.99955,0.763089,0.026943
CollegeEssay_real_70/036,native,0.000211,0.999196,0.998881,0.001294
CollegeEssay_real_70/037,native,0.000619,0.999459,0.105588,0.001218
CollegeEssay_real_70/038,native,0.000177,0.999344,0.241869,0.002055
CollegeEssay_real_70/039,native,0.000497,0.982113,0.00358,0.000456
CollegeEssay_real_70/040,native,0.148933,0.999535,0.002635,0.283164
CollegeEssay_real_70/041,native,0.014379,0.961976,0.005682,0.00039
CollegeEssay_real_70/042,native,0.000364,0.998635,0.001805,0.000458
CollegeEssay_real_70/043,native,0.002837,0.996119,0.297783,0.008241
CollegeEssay_real_70/044,native,0.000175,0.993103,0.001756,0.004737
CollegeEssay_real_70/045,native,0.000178,0.999043,0.323586,0.000296
CollegeEssay_real_70/046,native,0.001202,0.99953,0.972453,0.000577
CollegeEssay_real_70/047,native,0.000399,0.999528,0.012695,0.000291
CollegeEssay_real_70/048,native,0.000192,0.999188,0.903855,0.000275
CollegeEssay_real_70/049,native,0.000178,0.99951,0.516517,0.001889
CollegeEssay_real_70/050,native,0.00017,0.999536,0.003722,0.000587
CollegeEssay_real_70/051,native,0.000173,0.999282,0.237525,0.008961
CollegeEssay_real_70/052,native,0.000215,0.999526,0.999202,0.028561
CollegeEssay_real_70/053,native,0.000205,0.999554,0.451078,0.002092
CollegeEssay_real_70/054,native,0.218237,0.985498,0.700433,0.017467
CollegeEssay_real_70/055,native,0.00017,0.999154,0.019968,0.002492
CollegeEssay_real_70/056,native,0.000186,0.999216,0.004836,0.000635
CollegeEssay_real_70/057,native,0.00018,0.995083,0.016434,0.000356
CollegeEssay_real_70/058,native,0.000169,0.99803,0.030384,0.000379
CollegeEssay_real_70/059,native,0.000193,0.798882,0.00089,0.010521
CollegeEssay_real_70/060,native,0.000195,0.998942,0.430121,0.008003
CollegeEssay_real_70/061,native,0.002729,0.999515,0.018465,0.000775
CollegeEssay_real_70/062,native,0.000187,0.993889,0.044783,0.000506
CollegeEssay_real_70/063,native,0.000285,0.999447,0.140922,0.035486
CollegeEssay_real_70/064,native,0.000174,0.999374,0.964823,0.012639
CollegeEssay_real_70/065,native,0.000173,0.999517,0.001664,0.000294
CollegeEssay_real_70/066,native,0.000171,0.998565,0.098901,0.00137
CollegeEssay_real_70/067,native,0.00074,0.992137,0.994389,0.000692
CollegeEssay_real_70/068,native,0.025872,0.983595,0.029488,0.000794
CollegeEssay_real_70/069,native,0.000205,0.999547,0.023249,0.001653
