institution,state,control,policy_type,url,secondary_url
University of Minnesota Twin Cities,MN,Public,academic_integrity,https://teachingsupport.umn.edu/what-faculty-should-know-about-genai-detectors,https://teachingsupport.umn.edu/academic-integrity/genai-and-academic-integrity
University of Mississippi,MS,Public,academic_integrity,,
University of Missouri,MO,Public,academic_integrity,https://oai.missouri.edu/chatgpt-artificial-intelligence-and-academic-integrity/,https://teaching.missouri.edu/resources/artificial-intelligence-ai/generative-ai-faculty/generative-ai-classroom-guidelines
University of Montana,MT,Public,academic_integrity,https://www.umt.edu/teaching/teaching-gen-ai.php,
University of Nebraska-Lincoln,NE,Public,academic_integrity,https://teaching.unl.edu/resources/ai/academic-integrity/,https://teaching.unl.edu/ai/teaching-and-generative-artificial-intelligence/
University of Nevada Reno,NV,Public,academic_integrity,https://www.unr.edu/ai/teaching-with-ai/academic-integrity,
University of New Hampshire,NH,Public,academic_integrity,https://www.unh.edu/teaching-learning-resource-hub/delivery/generative-artificial-intelligence,
Rutgers University-New Brunswick,NJ,Public,academic_integrity,https://it.rutgers.edu/ai/guidance-on-the-use-of-ai-at-rutgers/,
University of New Mexico,NM,Public,academic_integrity,https://airesources.unm.edu/ai-guidance/appropriate-use.html,
University at Buffalo,NY,Public,academic_integrity,https://www.buffalo.edu/academic-integrity/instructors/protect/ai-guidance.html,
University of North Carolina at Chapel Hill,NC,Public,academic_integrity,https://college.unc.edu/2023/09/student-use-guidelines-for-generative-ai/,https://catalog.unc.edu/policies-procedures/honor-code/
University of North Dakota,ND,Public,academic_integrity,https://und.edu/academics/provost/faculty-affairs/ai-and-emerging-technology-academic-integrity-resources.html,
Ohio State University,OH,Public,academic_integrity,https://ai.osu.edu/resources-buckeyes/responsible-use,
University of Oklahoma,OK,Public,academic_integrity,https://www.ou.edu/integrity/faculty,
University of Oregon,OR,Public,academic_integrity,https://teaching.uoregon.edu/ai-academic-integrity,
Pennsylvania State University,PA,Public,academic_integrity,https://academicintegrity.psu.edu/courses/academic-integrity/artificial-intelligence,
University of Rhode Island,RI,Public,academic_integrity,https://uri.libguides.com/ai/instructors,
University of South Carolina,SC,Public,academic_integrity,https://sc.edu/about/offices_and_divisions/cte/teaching_resources/generative_ai/genai_teaching_guidelines/,https://sc.edu/about/offices_and_divisions/student_conduct_and_academic_integrity/academic_integrity/artificial_intelligence/
University of South Dakota,SD,Public,academic_integrity,https://www.usd.edu/About/Artificial-Intelligence,
University of Tennessee Knoxville,TN,Public,academic_integrity,https://oit.utk.edu/ai/,https://policy.tennessee.edu/policy/bt0035-policy-on-artificial-intelligence/
University of Texas at Austin,TX,Public,academic_integrity,https://provost.utexas.edu/the-office/faculty-affairs/office-of-academic-technology/ai-detection-software-guidance/,
University of Utah,UT,Public,academic_integrity,https://attheu.utah.edu/facultystaff/fall-2023-instructional-guidelines-on-generative-ai/,
University of Vermont,VT,Public,academic_integrity,https://researchguides.uvm.edu/student-ai,
University of Virginia,VA,Public,academic_integrity,https://honor.virginia.edu/resources/artificial-intelligence,https://honor.virginia.edu/resources/frequently-asked-questions
University of Washington,WA,Public,academic_integrity,https://teaching.washington.edu/course-design/ai/,
West Virginia University,WV,Public,academic_integrity,https://academicintegrity.wvu.edu/student-resources/ai-faq,
University of Wisconsin-Madison,WI,Public,academic_integrity,https://ctlm.wisc.edu/uw-madison-guiding-principles-for-generative-ai-in-teaching/,https://ctlm.wisc.edu/generativeai/promoting-academic-integrity/
University of Wyoming,WY,Public,academic_integrity,,
