institution,state,control,policy_type,url,secondary_url,access_date,http_status,sha256,n_chars,detector_admissibility,burden_of_proof,appeal_pathway,l2_protection,decision_locus,support_passage,coder,notes
University of Oklahoma,OK,Public,academic_integrity,https://www.ou.edu/integrity/faculty,,2026-06-09,200,9e9721029a2fdb9c,24968,advisory,,,none,delegated,'there is no established Artificial Intelligence (AI) detection software. The available AI detectors have demonstrated extremely high rates of returning false positives',claude-firstpass,No university-wide AI policy; OAIP accepts cases but no detector-evidence rule; instructor-set syllabus policy.
University of Oregon,OR,Public,academic_integrity,https://teaching.uoregon.edu/ai-academic-integrity,,2026-06-09,200,953da0a69e3373f9,3998,advisory,,,none,delegated,'UO does not currently support AI detection tools ... we would not consider the percentages provided by these tools as dispositive on their own',claude-firstpass,"Not dispositive on their own (guidance, not a binding sole-basis rule); Student Conduct Code names AI as plagiarism. burden left blank (no binding corroboration rule stated)."
Pennsylvania State University,PA,Public,academic_integrity,https://academicintegrity.psu.edu/courses/academic-integrity/artificial-intelligence,,2026-06-09,200,05824b53557e7626,2066,,,,,,,,PENDING-manual: integrity.psu.edu/ai and academicintegrity.psu.edu are link-only/orientation pages with no codeable policy text. Use G-9 policy or college responding-ai page.
University of Rhode Island,RI,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University of South Carolina,SC,Public,academic_integrity,https://sc.edu/about/offices_and_divisions/cte/teaching_resources/generative_ai/genai_teaching_guidelines/,https://sc.edu/about/offices_and_divisions/student_conduct_and_academic_integrity/academic_integrity/artificial_intelligence/,2026-06-09,200+200,3745083fd6ff2e95,47310,advisory,,,none,delegated,'AI detection tools are notoriously unreliable',claude-firstpass,PENDING-VERIFY: SCAI office page reportedly states detectors are not a sole basis and are 'insufficient to determine responsibility without additional analysis' (corroboration) - could not extract cleanly from fetched pages. If confirmed -> burden=institution (would clear vacuum).
University of South Dakota,SD,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University of Tennessee Knoxville,TN,Public,academic_integrity,https://oit.utk.edu/ai/,https://policy.tennessee.edu/policy/bt0035-policy-on-artificial-intelligence/,2026-06-09,200+200,b5caa68856e8b49c,21674,advisory,institution,,none,institutional,BT0035: 'under no circumstances shall the results of AI detection tools be the single measure for determining the academic performance of or misconduct by a Student',claude-firstpass,"Binding system policy: detectors never the single measure (burden=institution, institutional locus). No L2-specific protection."
University of Texas at Austin,TX,Public,academic_integrity,https://provost.utexas.edu/the-office/faculty-affairs/office-of-academic-technology/ai-detection-software-guidance/,,2026-06-09,200,74f71be5584e83e8,8249,prohibited,,,none,institutional,"'The University prohibits the use of all third-party software, including AI Detection Software ... to evaluate student work or assignments unless a University contract or purchase order is in place'; 'The University does not endorse the use of AI Detection Software'",claude-firstpass,"Ban grounded in privacy/FERPA/IP, not L2 bias. burden/appeal not on this page (see Student Conduct & Academic Integrity Guidelines for Resolving Academic Misconduct)."
University of Utah,UT,Public,academic_integrity,https://attheu.utah.edu/facultystaff/fall-2023-instructional-guidelines-on-generative-ai/,,2026-06-09,200,86879ee1357e9313,7276,admissible,,,none,delegated,"'MBECTE recommended that faculty not rely on Turnitin's Originality score to detect all AI usage due to reported reliability issues. Faculty are encouraged to explore independent AI detection tools, such as ZeroGPT'",claude-firstpass,ACTIVE-TOLERATION: Utah encourages faculty to explore independent detectors (ZeroGPT/Writer); no L2 protection. Second endorsement-type case after UGA.
University of Vermont,VT,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University of Virginia,VA,Public,academic_integrity,https://honor.virginia.edu/resources/artificial-intelligence,https://honor.virginia.edu/resources/frequently-asked-questions,2026-06-09,ERR:HTTPError,,0,,,,,,,,PENDING-manual: honor.virginia.edu returns HTTP 403. Honor Committee weighs detector reliability + standard of proof; AI evidence used at hearings (beyond reasonable doubt). Likely institutional locus + formal appeal; retrieve via browser.
University of Washington,WA,Public,academic_integrity,https://teaching.washington.edu/course-design/ai/,,2026-06-09,200,f746615efd1e8d84,16240,advisory,,,none,delegated,'Because no technology currently exists that can reliably identify when a student uses AI to complete an assignment ... adopting a policing approach to student use of AI will likely be both time-consuming and unsuccessful',claude-firstpass,No institution-wide policy; instructor-delegated. burden/appeal at campus Student Conduct office.
West Virginia University,WV,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
University of Wisconsin-Madison,WI,Public,academic_integrity,https://ctlm.wisc.edu/uw-madison-guiding-principles-for-generative-ai-in-teaching/,https://ctlm.wisc.edu/generativeai/promoting-academic-integrity/,2026-06-09,200+200,de3e9b0456764016,12979,advisory,,,explicit,delegated,"'Avoid generative AI detection tools; they are imperfect at best, carry the risk of false positives, have been shown to be biased against non-native English speakers ... UW-Madison has decided not to offer an enterprise tool for AI detection'",claude-firstpass,Explicit non-native bias acknowledgement; no enterprise detector. burden/appeal not on guiding-principles page.
University of Wyoming,WY,Public,academic_integrity,,,2026-06-09,PENDING,,0,,,,,,,,
