institution,state,control,carnegie,domain,integrity_url,guidance_url,pilot,unitid,exposure_year,total_enroll,nonresident_alien,intl_share
San Jose State University,CA,Public,R2,sjsu.edu,https://www.sjsu.edu/studentconduct/policies/academic-integrity.php,https://www.sjsu.edu/cfd/resources/generative-ai.php,0,122755,2022,35751,3051,0.0853
Towson University,MD,Public,M,towson.edu,https://www.towson.edu/provost/academicaffairs/academic-integrity.html,https://www.towson.edu/academics/resources/generative-ai/,0,164076,2022,19793,393,0.0199
Montclair State University,NJ,Public,R2,montclair.edu,https://www.montclair.edu/policies/all-policies/academic-integrity-policy/,https://www.montclair.edu/faculty-excellence/teaching-resources/generative-ai/,0,185590,2022,21784,538,0.0247
Williams College,MA,Private,BAC,williams.edu,https://www.williams.edu/honor-system/,https://oit.williams.edu/help/generative-ai/,1,168342,2022,2222,221,0.0995
Amherst College,MA,Private,BAC,amherst.edu,https://www.amherst.edu/campuslife/community-standards/honor-code,https://www.amherst.edu/offices/centers/center-for-teaching-and-learning/teaching-resources/generative-ai,0,164465,2022,1898,218,0.1149
Swarthmore College,PA,Private,BAC,swarthmore.edu,https://www.swarthmore.edu/student-handbook/academic-misconduct,https://www.swarthmore.edu/its/generative-ai,0,216287,2022,1625,227,0.1397
Wellesley College,MA,Private,BAC,wellesley.edu,https://www.wellesley.edu/honorcode,https://www.wellesley.edu/lts/generative-ai,0,168218,2022,2447,353,0.1443
Middlebury College,VT,Private,BAC,middlebury.edu,https://www.middlebury.edu/college/policies/honor-code,https://sites.middlebury.edu/ai/,0,230959,2022,2843,355,0.1249
Bowdoin College,ME,Private,BAC,bowdoin.edu,https://www.bowdoin.edu/dean-of-students/judicial-board/academic-honor-principle/index.html,https://www.bowdoin.edu/baldwin-center/teaching-guides/generative-ai.html,0,161004,2022,1915,126,0.0658
Carleton College,MN,Private,BAC,carleton.edu,https://www.carleton.edu/handbook/academics/,https://www.carleton.edu/learning-teaching-center/resources/generative-ai/,0,173258,2022,2059,207,0.1005
Davidson College,NC,Private,BAC,davidson.edu,https://www.davidson.edu/about/distinctly-davidson/honor-code,https://www.davidson.edu/offices-and-services/teaching-learning/generative-ai,0,198385,2022,1927,193,0.1002
Smith College,MA,Private,BAC,smith.edu,https://www.smith.edu/about-smith/smith-history/honor-code,https://www.smith.edu/academics/faculty/teaching-learning/generative-ai,0,167835,2022,2873,384,0.1337
Oberlin College,OH,Private,BAC,oberlin.edu,https://www.oberlin.edu/dean-of-students/honor-system,https://www.oberlin.edu/center-teaching-innovation-excellence/generative-ai,0,204501,2022,2992,297,0.0993
Macalester College,MN,Private,BAC,macalester.edu,https://www.macalester.edu/academics/academicprograms/academicpolicies/academicintegrity/,https://www.macalester.edu/serie/generative-ai/,1,173902,2022,2175,284,0.1306
Grinnell College,IA,Private,BAC,grinnell.edu,https://www.grinnell.edu/about/leadership/offices-services/academic-advising/resources/academic-honesty,https://www.grinnell.edu/about/offices-services/center-teaching-learning/generative-ai,0,153384,2022,1759,336,0.191
Haverford College,PA,Private,BAC,haverford.edu,https://www.haverford.edu/honor-council/code,https://www.haverford.edu/provost/generative-ai,0,212911,2022,1421,154,0.1084
Santa Monica College,CA,Public,AC,smc.edu,https://www.smc.edu/student-support/academic-support/scholars/honor-code.php,https://www.smc.edu/academics/center-teaching-excellence/generative-ai.php,0,122977,2022,22375,1496,0.0669
Northern Virginia Community College,VA,Public,AC,nvcc.edu,https://www.nvcc.edu/about/policies/academic.html,https://www.nvcc.edu/academics/generative-ai.html,0,232946,2022,51896,2148,0.0414
De Anza College,CA,Public,AC,deanza.edu,https://www.deanza.edu/studenthandbook/academic-integrity.html,https://www.deanza.edu/online-ed/generative-ai.html,0,113333,2022,16335,946,0.0579
Houston Community College,TX,Public,AC,hccs.edu,https://www.hccs.edu/about-hcc/policies/,https://www.hccs.edu/resources-for/faculty-and-staff/generative-ai/,0,225423,2022,48159,3872,0.0804
University of Rochester,NY,Private,R1,rochester.edu,,,0,195030,2022,12197,3810,0.3124
Case Western Reserve University,OH,Private,R1,case.edu,,,0,201645,2022,12201,2427,0.1989
Tulane University of Louisiana,LA,Private,R1,tulane.edu,,,0,160755,2022,14027,1410,0.1005
Lehigh University,PA,Private,R1,lehigh.edu,,,0,213543,2022,7394,1005,0.1359
Brandeis University,MA,Private,R1,brandeis.edu,,,0,165015,2022,5581,1576,0.2824
Syracuse University,NY,Private,R1,syracuse.edu,,,0,196413,2022,22698,4251,0.1873
Boston College,MA,Private,R1,bc.edu,,,0,164924,2022,15287,1765,0.1155
George Washington University,DC,Private,R1,gwu.edu,,,0,,2022,,,
Drexel University,PA,Private,R1,drexel.edu,,,0,212054,2022,22344,2309,0.1033
University of Miami,FL,Private,R1,miami.edu,,,0,135726,2022,19402,2358,0.1215
Yeshiva University,NY,Private,R2,yu.edu,,,0,197708,2022,6056,532,0.0878
University at Albany,NY,Public,R1,albany.edu,,,0,,2022,,,
Binghamton University,NY,Public,R1,binghamton.edu,,,0,196079,2022,18312,1917,0.1047
Wayne State University,MI,Public,R1,wayne.edu,,,0,172644,2022,23630,1246,0.0527
University of Illinois Chicago,IL,Public,R1,uic.edu,,,0,145600,2022,33747,4263,0.1263
George Mason University,VA,Public,R1,gmu.edu,,,0,232186,2022,39049,3917,0.1003
Kent State University,OH,Public,R1,kent.edu,,,0,203447,2022,1723,8,0.0046
University of Texas at Dallas,TX,Public,R1,utdallas.edu,,,0,228787,2022,31570,6929,0.2195
University of Texas at Arlington,TX,Public,R1,uta.edu,,,0,228769,2022,43946,6095,0.1387
University of Central Florida,FL,Public,R1,ucf.edu,,,0,132903,2022,68346,3068,0.0449
University of South Florida,FL,Public,R1,usf.edu,,,0,137351,2022,49600,5737,0.1157
Portland State University,OR,Public,R2,pdx.edu,,,0,209807,2022,21609,1223,0.0566
Georgia State University,GA,Public,R1,gsu.edu,,,0,139940,2022,36516,2699,0.0739
Virginia Commonwealth University,VA,Public,R1,vcu.edu,,,0,234030,2022,28082,996,0.0355
Pomona College,CA,Private,BAC,pomona.edu,,,0,121345,2022,1716,211,0.123
Vassar College,NY,Private,BAC,vassar.edu,,,0,197133,2022,2459,189,0.0769
Colby College,ME,Private,BAC,colby.edu,,,0,161086,2022,2299,237,0.1031
Bates College,ME,Private,BAC,bates.edu,,,0,160977,2022,1790,158,0.0883
Colgate University,NY,Private,BAC,colgate.edu,,,0,190099,2022,3141,279,0.0888
Hamilton College,NY,Private,BAC,hamilton.edu,,,0,191515,2022,2072,151,0.0729
Wesleyan University,CT,Private,BAC,wesleyan.edu,,,0,130697,2022,3253,366,0.1125
Bucknell University,PA,Private,BAC,bucknell.edu,,,0,211291,2022,3787,195,0.0515
Villanova University,PA,Private,M,villanova.edu,,,0,216597,2022,10383,391,0.0377
Santa Clara University,CA,Private,M,scu.edu,,,0,122931,2022,9178,1305,0.1422
Ithaca College,NY,Private,M,ithaca.edu,,,0,191968,2022,5054,139,0.0275
American University,DC,Private,R2,american.edu,,,0,,2022,,,
