file,age,gender,race,service_test,ita,tone_bin,skin_filter_ok
61.jpg,60-69,Male,Black,False,18.49,tan,1
62.jpg,3-9,Male,Southeast Asian,True,-49.81,dark,1
63.jpg,3-9,Female,White,False,-23.11,brown,1
64.jpg,10-19,Male,East Asian,False,-10.49,brown,1
65.jpg,40-49,Male,Latino_Hispanic,False,17.97,tan,1
66.jpg,30-39,Female,Latino_Hispanic,True,28.17,intermediate,1
67.jpg,40-49,Female,White,True,-42.55,dark,1
68.jpg,3-9,Female,White,True,-83.72,dark,1
69.jpg,30-39,Male,Latino_Hispanic,True,-59.15,dark,1
70.jpg,20-29,Male,Indian,True,-15.81,brown,1
71.jpg,more than 70,Male,Middle Eastern,True,-36.93,dark,1
72.jpg,30-39,Male,White,False,-58.05,dark,1
73.jpg,20-29,Female,Latino_Hispanic,False,26.35,tan,1
74.jpg,30-39,Female,Indian,False,-69.65,dark,1
75.jpg,50-59,Male,Middle Eastern,True,-40.22,dark,1
76.jpg,20-29,Male,Indian,True,-24.68,brown,1
77.jpg,40-49,Female,Latino_Hispanic,True,37.79,intermediate,1
78.jpg,30-39,Male,Black,False,6.95,brown,1
79.jpg,3-9,Female,Middle Eastern,True,-52.46,dark,1
80.jpg,30-39,Female,Black,False,-64.31,dark,1
81.jpg,30-39,Male,Black,False,-81.99,dark,1
82.jpg,10-19,Male,East Asian,False,41.69,light,1
83.jpg,30-39,Female,White,False,6.16,brown,1
84.jpg,40-49,Male,East Asian,False,23.39,tan,1
85.jpg,3-9,Female,White,False,36.12,intermediate,1
86.jpg,10-19,Male,Black,False,-63.33,dark,1
87.jpg,30-39,Male,White,False,57.15,very_light,1
88.jpg,20-29,Male,Southeast Asian,True,-33.03,dark,1
89.jpg,30-39,Male,East Asian,False,43.37,light,1
90.jpg,50-59,Male,Middle Eastern,False,-51.16,dark,1
91.jpg,10-19,Female,Indian,True,-45.98,dark,1
92.jpg,10-19,Male,White,False,34.46,intermediate,1
93.jpg,20-29,Female,Indian,True,-75.5,dark,1
94.jpg,50-59,Female,Latino_Hispanic,False,37.74,intermediate,1
95.jpg,50-59,Female,East Asian,True,-55.13,dark,1
96.jpg,30-39,Male,White,False,48.71,light,1
97.jpg,50-59,Female,Indian,True,38.37,intermediate,1
98.jpg,20-29,Male,East Asian,False,-48.98,dark,1
99.jpg,20-29,Male,East Asian,True,24.44,tan,1
100.jpg,20-29,Female,East Asian,True,51.16,light,1
101.jpg,30-39,Female,East Asian,False,52.69,light,1
102.jpg,20-29,Female,East Asian,False,48.01,light,1
103.jpg,3-9,Male,Southeast Asian,False,59.76,very_light,1
104.jpg,10-19,Male,Indian,True,62.18,very_light,1
105.jpg,40-49,Female,Middle Eastern,True,-2.25,brown,1
106.jpg,20-29,Female,Black,False,-73.95,dark,1
107.jpg,30-39,Male,Southeast Asian,False,-17.18,brown,1
108.jpg,10-19,Female,Black,False,2.01,brown,1
109.jpg,3-9,Male,Indian,True,-24.27,brown,1
110.jpg,30-39,Male,Indian,True,-25.55,brown,1
111.jpg,20-29,Male,Indian,True,-33.69,dark,1
112.jpg,30-39,Female,Indian,False,-33.85,dark,1
113.jpg,3-9,Male,Black,False,-57.15,dark,1
114.jpg,30-39,Female,Latino_Hispanic,False,51.01,light,1
115.jpg,10-19,Male,Middle Eastern,True,-47.62,dark,1
116.jpg,10-19,Female,White,False,1.02,brown,1
117.jpg,3-9,Male,Indian,False,-61.98,dark,1
118.jpg,30-39,Female,Indian,False,-11.09,brown,1
119.jpg,20-29,Male,White,True,2.81,brown,1
120.jpg,20-29,Female,Black,True,3.48,brown,1
121.jpg,20-29,Female,Southeast Asian,True,21.02,tan,1
122.jpg,20-29,Male,Black,True,-57.3,dark,1
123.jpg,20-29,Female,Middle Eastern,True,14.51,tan,1
124.jpg,3-9,Male,Indian,False,-10.29,brown,1
125.jpg,3-9,Female,Black,False,-63.5,dark,1
126.jpg,40-49,Male,White,False,-32.45,dark,1
127.jpg,20-29,Female,East Asian,False,-2.71,brown,1
128.jpg,30-39,Male,East Asian,True,34.31,intermediate,1
129.jpg,20-29,Male,East Asian,True,-90.0,dark,0
130.jpg,30-39,Female,East Asian,True,54.94,light,1
131.jpg,10-19,Female,Southeast Asian,False,69.51,very_light,1
132.jpg,30-39,Male,Black,False,-31.16,dark,1
133.jpg,20-29,Female,Southeast Asian,False,12.75,tan,1
134.jpg,30-39,Female,Latino_Hispanic,False,-41.14,dark,1
135.jpg,50-59,Female,Southeast Asian,False,-38.68,dark,1
136.jpg,40-49,Female,Indian,False,11.99,tan,1
137.jpg,30-39,Male,Black,True,-84.83,dark,1
138.jpg,20-29,Female,East Asian,False,49.16,light,1
139.jpg,40-49,Female,Latino_Hispanic,True,-52.46,dark,1
140.jpg,3-9,Male,Southeast Asian,False,22.49,tan,1
141.jpg,60-69,Male,Latino_Hispanic,False,-15.71,brown,1
142.jpg,20-29,Female,White,True,50.1,light,1
143.jpg,20-29,Female,Black,False,-87.31,dark,0
144.jpg,30-39,Male,White,True,15.95,tan,1
145.jpg,3-9,Female,Black,False,-53.4,dark,1
146.jpg,10-19,Male,Black,True,-49.3,dark,1
147.jpg,20-29,Male,Black,True,-62.39,dark,1
148.jpg,30-39,Male,White,False,46.82,light,1
149.jpg,20-29,Female,Southeast Asian,False,-9.33,brown,1
150.jpg,40-49,Male,Black,False,-74.41,dark,1
151.jpg,20-29,Female,Southeast Asian,True,-42.12,dark,1
152.jpg,0-2,Male,Black,True,-82.15,dark,0
153.jpg,3-9,Female,Latino_Hispanic,False,-8.08,brown,1
154.jpg,30-39,Male,White,True,49.97,light,1
155.jpg,10-19,Female,Black,False,-73.81,dark,1
156.jpg,60-69,Female,Black,False,-34.84,dark,1
157.jpg,30-39,Male,Middle Eastern,False,6.22,brown,1
158.jpg,20-29,Female,White,False,60.04,very_light,1
159.jpg,20-29,Female,White,False,-55.78,dark,1
160.jpg,30-39,Male,Middle Eastern,False,-45.0,dark,1
161.jpg,30-39,Female,Middle Eastern,True,43.03,light,1
162.jpg,30-39,Male,East Asian,True,-33.59,dark,1
163.jpg,40-49,Male,East Asian,True,38.28,intermediate,1
164.jpg,0-2,Male,Middle Eastern,False,-25.76,brown,1
165.jpg,3-9,Male,Black,False,-36.11,dark,1
166.jpg,10-19,Male,Black,True,-73.56,dark,1
167.jpg,10-19,Female,Black,False,-41.29,dark,1
168.jpg,20-29,Female,Middle Eastern,True,-11.09,brown,1
169.jpg,50-59,Male,Southeast Asian,False,-30.79,dark,1
170.jpg,20-29,Female,East Asian,False,31.29,intermediate,1
171.jpg,30-39,Female,Black,False,-4.57,brown,1
172.jpg,20-29,Female,Latino_Hispanic,False,1.6,brown,1
173.jpg,more than 70,Male,White,False,-76.03,dark,1
174.jpg,10-19,Male,White,True,21.88,tan,1
175.jpg,10-19,Female,Middle Eastern,True,24.2,tan,1
176.jpg,10-19,Female,White,True,90.0,very_light,0
177.jpg,10-19,Male,Latino_Hispanic,True,-70.69,dark,1
178.jpg,30-39,Male,Middle Eastern,False,-48.67,dark,1
179.jpg,50-59,Male,White,False,18.1,tan,1
180.jpg,3-9,Male,Southeast Asian,False,-43.93,dark,1
181.jpg,10-19,Female,Latino_Hispanic,False,-51.88,dark,1
182.jpg,3-9,Male,Indian,False,-42.69,dark,1
183.jpg,30-39,Female,Southeast Asian,True,72.58,very_light,1
184.jpg,3-9,Female,Black,False,22.93,tan,1
185.jpg,10-19,Male,Indian,True,-61.77,dark,1
186.jpg,50-59,Female,White,True,46.9,light,1
187.jpg,3-9,Male,Indian,False,-44.43,dark,1
188.jpg,3-9,Female,Black,True,-47.16,dark,1
189.jpg,3-9,Male,Indian,False,-30.08,dark,1
190.jpg,30-39,Female,Black,False,1.4,brown,1
191.jpg,40-49,Male,Latino_Hispanic,False,-18.1,brown,1
192.jpg,3-9,Male,East Asian,False,2.11,brown,1
193.jpg,60-69,Male,Middle Eastern,True,-55.27,dark,1
194.jpg,3-9,Male,Middle Eastern,False,-60.46,dark,1
195.jpg,20-29,Male,Indian,True,-77.65,dark,1
196.jpg,3-9,Female,Middle Eastern,True,7.68,brown,1
197.jpg,20-29,Male,Black,True,-26.36,brown,1
198.jpg,10-19,Female,Black,True,-7.64,brown,1
199.jpg,50-59,Male,Black,False,-50.3,dark,1
200.jpg,10-19,Female,White,True,-36.93,dark,1
201.jpg,30-39,Female,East Asian,True,-41.69,dark,1
202.jpg,40-49,Male,Black,False,1.6,brown,1
203.jpg,40-49,Male,White,True,-52.81,dark,1
204.jpg,20-29,Male,Indian,True,-12.46,brown,1
205.jpg,10-19,Female,East Asian,False,-35.51,dark,1
206.jpg,50-59,Male,East Asian,True,40.1,intermediate,1
207.jpg,30-39,Male,White,False,10.49,tan,1
208.jpg,30-39,Male,East Asian,True,48.01,light,1
209.jpg,20-29,Female,White,True,-48.59,dark,1
210.jpg,20-29,Male,Southeast Asian,False,80.99,very_light,1
211.jpg,50-59,Male,Indian,False,-33.3,dark,1
212.jpg,40-49,Male,White,False,19.94,tan,1
213.jpg,20-29,Female,Latino_Hispanic,True,-12.36,brown,1
214.jpg,60-69,Male,Middle Eastern,False,9.64,brown,1
215.jpg,3-9,Female,Latino_Hispanic,False,-1.47,brown,1
216.jpg,10-19,Female,East Asian,True,-26.29,brown,1
217.jpg,3-9,Female,Black,True,-3.61,brown,1
218.jpg,20-29,Female,Black,False,-46.02,dark,1
219.jpg,10-19,Female,East Asian,False,90.0,very_light,1
220.jpg,30-39,Male,Indian,False,35.71,intermediate,1
221.jpg,60-69,Female,Black,True,-12.69,brown,1
222.jpg,50-59,Male,Middle Eastern,False,18.31,tan,1
223.jpg,10-19,Female,White,False,29.41,intermediate,1
224.jpg,3-9,Male,Black,False,-33.54,dark,1
225.jpg,0-2,Male,Southeast Asian,False,25.55,tan,1
226.jpg,3-9,Male,East Asian,True,13.77,tan,1
227.jpg,40-49,Female,Latino_Hispanic,False,65.13,very_light,1
228.jpg,40-49,Female,Southeast Asian,True,-36.33,dark,1
229.jpg,3-9,Female,Latino_Hispanic,True,-68.14,dark,1
230.jpg,30-39,Female,Black,False,-71.92,dark,1
231.jpg,3-9,Male,Black,False,-32.01,dark,1
232.jpg,40-49,Female,White,False,-33.32,dark,1
233.jpg,20-29,Male,Southeast Asian,False,-25.35,brown,1
234.jpg,0-2,Male,East Asian,False,-40.87,dark,1
235.jpg,50-59,Male,Latino_Hispanic,False,-30.47,dark,1
236.jpg,30-39,Female,Latino_Hispanic,False,9.95,brown,1
237.jpg,3-9,Male,East Asian,False,17.53,tan,1
238.jpg,10-19,Female,East Asian,True,54.88,light,1
239.jpg,30-39,Female,Middle Eastern,True,-67.13,dark,1
240.jpg,3-9,Male,Indian,True,-42.92,dark,1
241.jpg,50-59,Male,Southeast Asian,False,-27.24,brown,1
242.jpg,60-69,Male,Middle Eastern,False,18.49,tan,1
243.jpg,60-69,Female,Black,False,-57.68,dark,1
244.jpg,50-59,Male,Black,False,-48.21,dark,1
245.jpg,40-49,Male,Indian,True,-30.47,dark,1
246.jpg,20-29,Male,White,True,-6.0,brown,1
247.jpg,20-29,Male,Indian,True,-41.03,dark,1
248.jpg,20-29,Male,Black,False,-36.63,dark,1
249.jpg,20-29,Female,East Asian,False,39.25,intermediate,1
250.jpg,20-29,Male,Southeast Asian,False,34.28,intermediate,1
251.jpg,20-29,Male,White,False,-41.65,dark,1
252.jpg,3-9,Female,Black,True,-67.12,dark,1
253.jpg,20-29,Female,East Asian,True,-58.61,dark,1
254.jpg,30-39,Female,White,False,40.58,intermediate,1
255.jpg,30-39,Female,Southeast Asian,False,-28.61,brown,1
256.jpg,0-2,Male,Southeast Asian,False,-27.72,brown,1
257.jpg,40-49,Female,Middle Eastern,True,8.53,brown,1
258.jpg,0-2,Female,Indian,False,-22.06,brown,1
259.jpg,30-39,Female,Indian,False,-33.03,dark,1
260.jpg,40-49,Female,Black,False,-76.35,dark,1
261.jpg,40-49,Female,Latino_Hispanic,True,-15.35,brown,1
262.jpg,30-39,Female,East Asian,True,-6.25,brown,1
263.jpg,0-2,Male,East Asian,False,25.57,tan,1
264.jpg,20-29,Female,East Asian,True,25.1,tan,1
265.jpg,20-29,Female,Indian,True,41.99,light,1
266.jpg,60-69,Male,Middle Eastern,False,10.19,tan,1
267.jpg,3-9,Female,East Asian,True,29.62,intermediate,1
268.jpg,3-9,Male,Latino_Hispanic,False,16.91,tan,1
269.jpg,50-59,Male,Southeast Asian,False,-60.46,dark,1
270.jpg,30-39,Female,Indian,False,90.0,very_light,0
271.jpg,40-49,Male,Latino_Hispanic,True,-54.41,dark,1
272.jpg,20-29,Male,Latino_Hispanic,True,-24.58,brown,1
273.jpg,20-29,Female,Middle Eastern,True,40.09,intermediate,1
274.jpg,10-19,Male,Indian,True,-63.27,dark,1
275.jpg,30-39,Male,Southeast Asian,True,-7.73,brown,1
276.jpg,30-39,Female,Black,True,-43.85,dark,1
277.jpg,10-19,Female,Latino_Hispanic,False,-28.95,brown,1
278.jpg,3-9,Female,Indian,False,-65.13,dark,1
279.jpg,20-29,Male,Middle Eastern,True,-19.27,brown,1
280.jpg,40-49,Female,Latino_Hispanic,False,-33.0,dark,1
281.jpg,30-39,Female,Black,False,-61.04,dark,1
282.jpg,20-29,Male,Black,True,16.91,tan,1
283.jpg,40-49,Male,White,False,45.63,light,1
284.jpg,60-69,Female,Southeast Asian,False,4.25,brown,1
285.jpg,20-29,Male,Black,True,-59.47,dark,1
286.jpg,20-29,Female,White,True,40.1,intermediate,1
287.jpg,40-49,Male,Middle Eastern,False,-15.96,brown,1
288.jpg,60-69,Female,East Asian,True,-47.59,dark,1
289.jpg,20-29,Female,White,False,31.57,intermediate,1
290.jpg,40-49,Male,East Asian,False,49.36,light,1
291.jpg,30-39,Female,Latino_Hispanic,False,52.12,light,1
292.jpg,20-29,Female,Southeast Asian,True,11.09,tan,1
293.jpg,60-69,Female,White,False,65.98,very_light,1
294.jpg,more than 70,Male,East Asian,False,-6.92,brown,1
295.jpg,20-29,Male,Indian,False,-40.71,dark,1
296.jpg,20-29,Female,Southeast Asian,True,35.4,intermediate,1
297.jpg,20-29,Female,Black,False,-70.72,dark,1
298.jpg,40-49,Female,Latino_Hispanic,False,11.51,tan,1
299.jpg,more than 70,Male,East Asian,True,-90.0,dark,0
300.jpg,50-59,Male,Indian,False,-20.8,brown,1
301.jpg,40-49,Male,Indian,False,-64.76,dark,1
302.jpg,20-29,Female,Southeast Asian,True,-90.0,dark,0
303.jpg,30-39,Male,Latino_Hispanic,False,-39.39,dark,1
304.jpg,10-19,Male,Southeast Asian,True,-71.79,dark,1
305.jpg,40-49,Male,Black,True,-59.6,dark,1
306.jpg,30-39,Male,Middle Eastern,False,24.32,tan,1
307.jpg,30-39,Male,Southeast Asian,True,-82.91,dark,1
308.jpg,20-29,Female,White,True,-27.24,brown,1
309.jpg,30-39,Male,East Asian,False,22.79,tan,1
310.jpg,30-39,Male,Southeast Asian,True,-29.72,brown,1
311.jpg,20-29,Female,Latino_Hispanic,False,-14.15,brown,1
312.jpg,3-9,Male,Latino_Hispanic,False,46.76,light,1
313.jpg,60-69,Male,White,True,26.11,tan,1
314.jpg,3-9,Male,East Asian,False,-27.06,brown,1
315.jpg,30-39,Female,East Asian,False,-21.12,brown,1
316.jpg,3-9,Male,Black,False,-31.06,dark,1
317.jpg,20-29,Female,Southeast Asian,True,11.09,tan,1
318.jpg,10-19,Female,Indian,False,3.86,brown,1
319.jpg,40-49,Male,White,False,7.97,brown,1
320.jpg,3-9,Male,Black,False,-69.79,dark,1
321.jpg,20-29,Male,Indian,True,-38.57,dark,1
322.jpg,30-39,Female,White,False,32.05,intermediate,1
323.jpg,50-59,Female,White,False,64.38,very_light,1
324.jpg,3-9,Male,Southeast Asian,False,-18.64,brown,1
325.jpg,3-9,Female,Latino_Hispanic,False,27.01,tan,1
326.jpg,40-49,Female,Black,True,-23.11,brown,1
327.jpg,20-29,Male,Indian,True,-53.07,dark,1
328.jpg,20-29,Female,Indian,True,1.09,brown,1
329.jpg,10-19,Female,Southeast Asian,True,63.78,very_light,1
330.jpg,3-9,Female,Black,False,-49.84,dark,1
331.jpg,3-9,Female,White,True,86.72,very_light,1
332.jpg,50-59,Male,White,False,25.28,tan,1
333.jpg,50-59,Female,East Asian,True,-55.9,dark,1
334.jpg,0-2,Female,White,False,33.69,intermediate,1
335.jpg,20-29,Male,Indian,True,68.47,very_light,1
336.jpg,20-29,Male,Black,True,-61.06,dark,1
337.jpg,20-29,Male,Southeast Asian,True,-41.69,dark,1
338.jpg,40-49,Female,Black,False,-58.7,dark,1
339.jpg,30-39,Male,Black,True,-53.92,dark,1
340.jpg,20-29,Female,Black,False,-56.19,dark,1
341.jpg,40-49,Male,Southeast Asian,False,-0.42,brown,1
342.jpg,50-59,Male,Middle Eastern,False,21.01,tan,1
343.jpg,10-19,Female,Black,False,-23.07,brown,1
344.jpg,50-59,Female,White,True,-24.58,brown,1
345.jpg,40-49,Female,Middle Eastern,True,-40.58,dark,1
346.jpg,10-19,Male,East Asian,False,12.25,tan,1
347.jpg,20-29,Female,Middle Eastern,True,-76.35,dark,1
348.jpg,3-9,Female,Latino_Hispanic,True,-36.86,dark,1
349.jpg,50-59,Male,Indian,False,29.41,intermediate,1
350.jpg,0-2,Male,East Asian,False,36.99,intermediate,1
351.jpg,3-9,Female,White,True,-39.18,dark,1
352.jpg,3-9,Female,Indian,True,-29.34,brown,1
353.jpg,20-29,Male,White,True,49.95,light,1
354.jpg,3-9,Male,Black,False,-74.53,dark,1
355.jpg,30-39,Male,White,False,-52.31,dark,1
356.jpg,50-59,Male,Black,False,0.53,brown,1
357.jpg,30-39,Male,Black,True,-50.03,dark,1
358.jpg,20-29,Female,Southeast Asian,True,40.19,intermediate,1
359.jpg,30-39,Female,Southeast Asian,True,9.23,brown,1
360.jpg,3-9,Female,East Asian,False,-35.87,dark,1
361.jpg,20-29,Male,Black,True,-59.27,dark,1
362.jpg,50-59,Male,Indian,True,-69.4,dark,1
363.jpg,0-2,Female,Southeast Asian,False,49.92,light,1
364.jpg,50-59,Female,Black,True,-65.37,dark,1
365.jpg,20-29,Female,East Asian,False,-62.24,dark,1
366.jpg,20-29,Male,White,False,5.6,brown,1
367.jpg,10-19,Female,East Asian,False,53.26,light,1
368.jpg,10-19,Female,Southeast Asian,False,-77.43,dark,1
369.jpg,3-9,Female,Southeast Asian,False,90.0,very_light,0
370.jpg,30-39,Male,Indian,False,-19.72,brown,1
371.jpg,3-9,Male,Latino_Hispanic,False,11.09,tan,1
372.jpg,60-69,Female,Middle Eastern,True,-33.41,dark,1
373.jpg,20-29,Male,Latino_Hispanic,True,20.9,tan,1
374.jpg,10-19,Female,Middle Eastern,True,43.32,light,1
375.jpg,3-9,Female,Indian,False,-39.25,dark,1
376.jpg,20-29,Female,Latino_Hispanic,True,-4.8,brown,1
377.jpg,30-39,Female,East Asian,False,-25.51,brown,1
378.jpg,30-39,Male,Southeast Asian,False,-31.59,dark,1
379.jpg,20-29,Female,East Asian,True,-64.12,dark,1
380.jpg,20-29,Male,Middle Eastern,True,73.68,very_light,1
381.jpg,40-49,Male,Black,False,-24.58,brown,1
382.jpg,10-19,Male,Black,True,-33.28,dark,1
383.jpg,30-39,Female,White,False,-50.3,dark,1
384.jpg,20-29,Female,Black,True,-81.15,dark,1
385.jpg,10-19,Female,Southeast Asian,True,-23.11,brown,1
386.jpg,20-29,Female,Southeast Asian,True,-43.34,dark,1
387.jpg,20-29,Male,Southeast Asian,True,20.43,tan,1
388.jpg,10-19,Male,White,False,40.16,intermediate,1
389.jpg,30-39,Male,Southeast Asian,False,-62.1,dark,1
390.jpg,0-2,Male,Middle Eastern,False,19.01,tan,1
391.jpg,20-29,Male,East Asian,True,-30.81,dark,1
392.jpg,30-39,Female,White,False,-19.53,brown,1
393.jpg,10-19,Male,Southeast Asian,True,-21.16,brown,1
394.jpg,40-49,Female,Latino_Hispanic,True,7.26,brown,1
395.jpg,50-59,Female,Southeast Asian,False,46.39,light,1
396.jpg,3-9,Female,Indian,True,-26.33,brown,1
397.jpg,3-9,Female,White,False,14.77,tan,1
398.jpg,30-39,Male,Black,True,-76.85,dark,1
399.jpg,3-9,Male,East Asian,False,47.62,light,1
400.jpg,0-2,Male,East Asian,True,-9.48,brown,1
401.jpg,30-39,Male,Middle Eastern,True,-24.91,brown,1
402.jpg,3-9,Female,White,False,15.87,tan,1
403.jpg,20-29,Male,Black,True,-51.88,dark,1
404.jpg,3-9,Male,Black,False,-43.97,dark,1
405.jpg,20-29,Female,Middle Eastern,True,-23.14,brown,1
406.jpg,10-19,Male,Indian,True,-14.47,brown,1
407.jpg,3-9,Male,Southeast Asian,False,-38.47,dark,1
408.jpg,20-29,Male,East Asian,False,53.61,light,1
409.jpg,30-39,Male,Middle Eastern,False,-14.15,brown,1
410.jpg,30-39,Male,Indian,False,-3.74,brown,1
411.jpg,30-39,Female,Indian,True,-37.15,dark,1
412.jpg,40-49,Male,Black,False,-82.15,dark,1
413.jpg,10-19,Female,Indian,False,-60.46,dark,1
414.jpg,more than 70,Female,White,False,50.41,light,1
415.jpg,60-69,Male,White,False,-18.94,brown,1
416.jpg,20-29,Male,Southeast Asian,True,-42.13,dark,1
417.jpg,10-19,Female,East Asian,True,-17.67,brown,1
418.jpg,10-19,Female,White,True,18.1,tan,1
419.jpg,40-49,Female,Latino_Hispanic,False,36.84,intermediate,1
420.jpg,20-29,Male,East Asian,True,-56.86,dark,1
421.jpg,3-9,Female,Latino_Hispanic,False,-4.36,brown,1
422.jpg,10-19,Male,Latino_Hispanic,False,12.71,tan,1
423.jpg,50-59,Female,Latino_Hispanic,True,-14.47,brown,1
424.jpg,3-9,Female,Indian,True,-26.93,brown,1
425.jpg,3-9,Female,Latino_Hispanic,False,13.16,tan,1
426.jpg,50-59,Male,Black,True,-71.57,dark,1
427.jpg,30-39,Female,Latino_Hispanic,True,-33.63,dark,1
428.jpg,3-9,Male,Black,False,-23.33,brown,1
429.jpg,20-29,Female,Middle Eastern,True,-20.01,brown,1
430.jpg,30-39,Female,Southeast Asian,True,-37.33,dark,1
431.jpg,20-29,Female,Black,True,-16.39,brown,1
432.jpg,40-49,Male,Middle Eastern,False,31.93,intermediate,1
433.jpg,50-59,Male,White,False,-30.98,dark,1
434.jpg,50-59,Male,White,False,0.84,brown,1
435.jpg,40-49,Female,Indian,True,12.96,tan,1
436.jpg,10-19,Female,White,False,-26.38,brown,1
437.jpg,20-29,Female,Indian,True,-7.73,brown,1
438.jpg,30-39,Female,Middle Eastern,True,-16.61,brown,1
439.jpg,20-29,Female,White,True,12.44,tan,1
440.jpg,30-39,Female,East Asian,True,-23.33,brown,1
441.jpg,30-39,Male,White,False,-51.88,dark,1
442.jpg,50-59,Male,Indian,False,6.47,brown,1
443.jpg,30-39,Female,Southeast Asian,False,69.08,very_light,1
444.jpg,20-29,Female,Indian,True,-1.12,brown,1
445.jpg,20-29,Female,East Asian,False,-12.23,brown,1
446.jpg,30-39,Male,Black,True,-76.35,dark,1
447.jpg,20-29,Female,Middle Eastern,True,26.29,tan,1
448.jpg,10-19,Female,White,True,-51.4,dark,1
449.jpg,50-59,Female,Latino_Hispanic,False,-23.22,brown,1
450.jpg,40-49,Male,Indian,False,-34.31,dark,1
451.jpg,40-49,Female,Indian,True,-40.16,dark,1
452.jpg,10-19,Female,Latino_Hispanic,False,-13.77,brown,1
453.jpg,10-19,Female,Indian,False,-61.19,dark,1
454.jpg,20-29,Male,Middle Eastern,True,-62.74,dark,1
455.jpg,50-59,Female,Black,True,-2.62,brown,1
456.jpg,0-2,Female,Black,False,-1.25,brown,1
457.jpg,40-49,Male,East Asian,True,1.35,brown,1
458.jpg,40-49,Male,Black,True,-63.84,dark,1
459.jpg,20-29,Female,East Asian,False,-65.13,dark,0
460.jpg,30-39,Male,Middle Eastern,True,22.22,tan,1
461.jpg,10-19,Male,Southeast Asian,True,-37.82,dark,1
462.jpg,3-9,Female,Latino_Hispanic,True,90.0,very_light,0
463.jpg,50-59,Male,White,False,-62.51,dark,1
