pair_idx,fold,verifier,exposure,genuine,ita_pair,detect_enroll,detect_probe,similarity
97,0,facenet,0.15,1,40.03,1,1,0.81327
98,0,facenet,0.15,1,-11.69,1,1,0.44033
99,0,facenet,0.15,1,14.14,1,1,0.87728
100,0,facenet,0.15,1,33.81,1,1,0.79842
101,0,facenet,0.15,1,49.95,1,1,0.7889
102,0,facenet,0.15,1,33.45,1,1,0.84285
103,0,facenet,0.15,1,44.76,1,1,0.03579
104,0,facenet,0.15,1,51.13,1,1,0.02946
105,0,facenet,0.15,1,47.57,1,1,0.68113
106,0,facenet,0.15,1,47.81,1,1,0.60981
107,0,facenet,0.15,1,31.98,1,1,0.77682
108,0,facenet,0.15,1,40.14,1,1,0.80241
109,0,facenet,0.15,1,31.49,1,1,0.85996
110,0,facenet,0.15,1,62.42,1,1,0.74537
111,0,facenet,0.15,1,25.31,1,1,0.88212
112,0,facenet,0.15,1,6.57,1,1,0.37688
113,0,facenet,0.15,1,52.35,1,1,0.83489
114,0,facenet,0.15,1,43.36,1,1,0.72318
115,0,facenet,0.15,1,40.2,1,1,0.55848
116,0,facenet,0.15,1,39.41,1,1,0.69537
117,0,facenet,0.15,1,25.46,1,1,0.59353
118,0,facenet,0.15,1,39.86,1,1,0.6753
119,0,facenet,0.15,1,52.14,1,1,0.79665
120,0,facenet,0.15,1,23.66,1,1,0.59507
121,0,facenet,0.15,1,31.27,1,1,0.76486
122,0,facenet,0.15,1,30.92,1,1,0.62906
123,0,facenet,0.15,1,9.41,1,1,0.73614
124,0,facenet,0.15,1,26.8,1,1,0.75813
125,0,facenet,0.15,1,24.7,1,1,0.82757
126,0,facenet,0.15,1,42.46,1,1,0.57548
127,0,facenet,0.15,1,48.73,1,1,0.82528
128,0,facenet,0.15,1,45.99,1,1,0.89853
129,0,facenet,0.15,1,11.61,1,1,0.83563
130,0,facenet,0.15,1,58.85,1,1,0.81099
131,0,facenet,0.15,1,29.26,1,1,0.67636
132,0,facenet,0.15,1,8.63,1,1,0.63787
133,0,facenet,0.15,1,38.4,1,1,0.79097
134,0,facenet,0.15,1,46.16,1,1,0.80943
135,0,facenet,0.15,1,55.24,1,1,0.72396
136,0,facenet,0.15,1,59.45,1,1,0.75716
137,0,facenet,0.15,1,49.18,1,1,0.70266
138,0,facenet,0.15,1,52.99,1,1,0.82866
139,0,facenet,0.15,1,24.11,1,1,0.83832
140,0,facenet,0.15,1,19.25,1,1,0.88917
141,0,facenet,0.15,1,25.8,1,1,-0.23001
142,0,facenet,0.15,1,8.38,1,1,0.802
143,0,facenet,0.15,1,5.27,1,1,0.87128
144,0,facenet,0.15,1,9.78,1,1,0.73668
145,0,facenet,0.15,1,17.89,1,1,0.89695
146,0,facenet,0.15,1,-4.99,1,1,0.85259
147,0,facenet,0.15,1,32.9,1,1,0.67142
148,0,facenet,0.15,1,46.34,1,1,0.77698
149,0,facenet,0.15,1,23.57,1,1,0.74826
150,0,facenet,0.15,1,-29.29,1,1,0.29129
151,0,facenet,0.15,1,-4.42,1,1,0.74039
152,0,facenet,0.15,1,-9.97,1,1,0.49662
153,0,facenet,0.15,1,37.0,1,1,-0.22805
154,0,facenet,0.15,1,-0.93,1,1,0.58706
155,0,facenet,0.15,1,-10.96,1,1,0.84485
156,0,facenet,0.15,1,-21.63,1,1,0.79434
157,0,facenet,0.15,1,43.96,1,1,0.83913
158,0,facenet,0.15,1,34.55,1,1,0.68837
159,0,facenet,0.15,1,40.99,1,1,0.86653
160,0,facenet,0.15,1,29.78,1,1,0.74991
161,0,facenet,0.15,1,47.32,1,1,0.87825
162,0,facenet,0.15,1,14.16,1,1,0.82086
163,0,facenet,0.15,1,14.63,1,1,0.75912
164,0,facenet,0.15,1,53.9,1,1,0.94771
165,0,facenet,0.15,1,45.2,1,1,0.89334
166,0,facenet,0.15,1,42.63,1,1,0.78344
167,0,facenet,0.15,1,23.36,1,1,0.83161
168,0,facenet,0.15,1,4.41,1,1,0.51623
169,0,facenet,0.15,1,-33.92,1,1,0.72425
170,0,facenet,0.15,1,15.16,1,1,0.47257
171,0,facenet,0.15,1,27.01,1,1,0.35846
172,0,facenet,0.15,1,-17.88,1,1,0.82586
173,0,facenet,0.15,1,52.81,1,1,0.80745
174,0,facenet,0.15,1,21.12,1,1,0.79046
175,0,facenet,0.15,1,-30.81,1,1,0.80898
176,0,facenet,0.15,1,-3.42,1,1,0.81889
177,0,facenet,0.15,1,11.31,1,1,0.71557
178,0,facenet,0.15,1,25.24,1,1,0.77638
179,0,facenet,0.15,1,31.1,1,1,0.62431
180,0,facenet,0.15,1,62.23,1,1,0.55153
181,0,facenet,0.15,1,8.74,1,1,0.52158
182,0,facenet,0.15,1,32.72,1,1,0.64906
183,0,facenet,0.15,1,17.83,1,1,0.82602
184,0,facenet,0.15,1,-2.66,1,1,0.51116
185,0,facenet,0.15,1,17.12,1,1,0.4606
186,0,facenet,0.15,1,42.6,1,1,0.90986
187,0,facenet,0.15,1,35.52,1,1,0.55443
188,0,facenet,0.15,1,44.5,1,1,0.65055
189,0,facenet,0.15,1,29.24,1,1,0.37609
190,0,facenet,0.15,1,30.52,1,1,0.56875
191,0,facenet,0.15,1,26.0,1,1,0.70165
192,0,facenet,0.15,1,32.04,1,1,0.77009
193,0,facenet,0.15,1,33.7,1,1,0.21541
194,0,facenet,0.15,1,36.53,1,1,0.16928
195,0,facenet,0.15,1,6.39,1,1,0.8377
196,0,facenet,0.15,1,39.66,1,1,0.7225
197,0,facenet,0.15,1,25.66,1,1,0.83869
198,0,facenet,0.15,1,1.82,1,1,0.75456
199,0,facenet,0.15,1,-28.53,1,1,0.73192
200,0,facenet,0.15,1,50.54,1,1,0.7471
201,0,facenet,0.15,1,32.03,1,1,0.45545
202,0,facenet,0.15,1,14.98,1,1,0.75777
203,0,facenet,0.15,1,30.69,1,1,0.69875
204,0,facenet,0.15,1,21.7,1,1,0.7425
205,0,facenet,0.15,1,36.8,1,1,0.73362
206,0,facenet,0.15,1,3.15,1,1,0.60878
207,0,facenet,0.15,1,5.45,1,1,0.68594
208,0,facenet,0.15,1,-19.75,1,1,0.82835
209,0,facenet,0.15,1,2.63,1,1,0.69252
210,0,facenet,0.15,1,6.68,1,1,0.79567
211,0,facenet,0.15,1,22.89,1,1,0.86173
212,0,facenet,0.15,1,12.49,1,1,0.82793
213,0,facenet,0.15,1,10.53,1,1,0.71905
214,0,facenet,0.15,1,31.34,1,1,0.75446
215,0,facenet,0.15,1,27.65,1,1,0.75852
216,0,facenet,0.15,1,34.31,1,1,0.85584
217,0,facenet,0.15,1,43.85,1,1,0.79436
218,0,facenet,0.15,1,28.01,1,1,0.7728
219,0,facenet,0.15,1,8.6,1,1,0.81671
220,0,facenet,0.15,1,39.22,1,1,0.90806
221,0,facenet,0.15,1,45.31,1,1,0.01625
222,0,facenet,0.15,1,18.95,1,1,0.06309
223,0,facenet,0.15,1,43.42,1,1,-0.1464
224,0,facenet,0.15,1,13.54,1,1,0.66757
225,0,facenet,0.15,1,19.21,1,1,0.87175
226,0,facenet,0.15,1,-6.61,1,1,0.79258
227,0,facenet,0.15,1,19.35,1,1,0.86378
228,0,facenet,0.15,1,40.69,1,1,0.88608
229,0,facenet,0.15,1,31.69,1,1,0.80545
230,0,facenet,0.15,1,28.04,1,1,0.71716
231,0,facenet,0.15,1,38.04,1,1,0.75174
232,0,facenet,0.15,1,18.6,1,1,0.87867
233,0,facenet,0.15,1,20.52,1,1,0.81745
234,0,facenet,0.15,1,18.74,1,1,0.57913
235,0,facenet,0.15,1,49.11,1,1,0.78558
236,0,facenet,0.15,1,37.15,1,1,0.48634
237,0,facenet,0.15,1,28.57,1,1,0.71227
238,0,facenet,0.15,1,2.45,1,1,0.66029
239,0,facenet,0.15,1,25.35,1,1,0.85948
240,0,facenet,0.15,1,20.41,1,1,0.62721
241,0,facenet,0.15,1,17.42,1,1,0.75171
242,0,facenet,0.15,1,16.03,1,1,0.59229
243,0,facenet,0.15,1,-2.32,1,1,0.78648
244,0,facenet,0.15,1,29.58,1,1,0.88743
245,0,facenet,0.15,1,23.66,1,1,0.77505
246,0,facenet,0.15,1,24.02,1,1,0.64889
247,0,facenet,0.15,1,22.23,1,1,0.87182
248,0,facenet,0.15,1,22.22,1,1,0.66743
249,0,facenet,0.15,1,14.42,1,1,0.84339
250,0,facenet,0.15,1,36.53,1,1,0.78022
251,0,facenet,0.15,1,21.41,1,1,0.74348
252,0,facenet,0.15,1,10.1,1,1,0.77864
253,0,facenet,0.15,1,9.27,1,1,0.69213
254,0,facenet,0.15,1,21.87,1,1,0.75565
255,0,facenet,0.15,1,19.94,1,1,0.80465
256,0,facenet,0.15,1,-2.53,1,1,0.48755
257,0,facenet,0.15,1,5.73,1,1,0.55446
258,0,facenet,0.15,1,25.22,1,1,0.74993
259,0,facenet,0.15,1,32.79,1,1,0.79587
260,0,facenet,0.15,1,48.8,1,1,0.62658
261,0,facenet,0.15,1,43.36,1,1,0.85838
262,0,facenet,0.15,1,28.05,1,1,0.69708
263,0,facenet,0.15,1,47.88,1,1,0.6888
264,0,facenet,0.15,1,41.02,1,1,0.81383
265,0,facenet,0.15,1,44.35,1,1,0.79797
266,0,facenet,0.15,1,44.14,1,1,0.84864
267,0,facenet,0.15,1,31.68,1,1,0.85795
268,0,facenet,0.15,1,26.61,1,1,0.20055
269,0,facenet,0.15,1,8.39,1,1,0.68865
270,0,facenet,0.15,1,12.74,1,1,0.78099
271,0,facenet,0.15,1,17.21,1,1,0.62738
272,0,facenet,0.15,1,11.25,1,1,0.18659
273,0,facenet,0.15,1,31.67,1,1,0.26827
274,0,facenet,0.15,1,16.45,1,1,0.8111
275,0,facenet,0.15,1,23.38,1,1,0.90755
276,0,facenet,0.15,1,-18.89,1,1,0.81065
277,0,facenet,0.15,1,0.96,1,1,0.81511
278,0,facenet,0.15,1,44.54,1,1,0.75854
279,0,facenet,0.15,1,20.15,1,1,0.71162
280,0,facenet,0.15,1,37.99,1,1,0.75889
281,0,facenet,0.15,1,27.12,1,1,0.82076
282,0,facenet,0.15,1,21.7,1,1,0.28463
283,0,facenet,0.15,1,33.04,1,1,0.67336
284,0,facenet,0.15,1,-1.03,1,1,0.7315
285,0,facenet,0.15,1,-2.5,1,1,0.9072
286,0,facenet,0.15,1,-12.22,1,1,0.76531
287,0,facenet,0.15,1,0.65,1,1,0.86227
288,0,facenet,0.15,1,6.47,1,1,0.73407
289,0,facenet,0.15,1,24.84,1,1,0.86431
290,0,facenet,0.15,1,38.77,1,1,0.7049
291,0,facenet,0.15,1,53.55,1,1,0.58486
292,0,facenet,0.15,1,40.44,1,1,0.8389
293,0,facenet,0.15,1,29.98,1,1,0.79005
294,0,facenet,0.15,1,35.66,1,1,0.90082
295,0,facenet,0.15,1,28.26,1,1,0.65252
296,0,facenet,0.15,1,26.6,1,1,0.68423
297,0,facenet,0.15,1,-5.27,1,1,0.59506
298,0,facenet,0.15,1,15.48,1,1,0.85438
299,0,facenet,0.15,1,4.99,1,1,0.80802
300,0,facenet,0.15,0,44.69,1,1,0.03111
301,0,facenet,0.15,0,23.05,1,1,-0.11582
302,0,facenet,0.15,0,26.66,1,1,-0.06119
303,0,facenet,0.15,0,23.39,1,1,-0.06314
304,0,facenet,0.15,0,-7.7,1,1,0.2541
305,0,facenet,0.15,0,26.98,1,1,-0.09173
306,0,facenet,0.15,0,0.0,1,1,0.05368
307,0,facenet,0.15,0,20.05,1,1,-0.02929
308,0,facenet,0.15,0,50.93,1,1,0.06696
309,0,facenet,0.15,0,15.09,1,1,-0.21694
310,0,facenet,0.15,0,23.19,1,1,0.01458
311,0,facenet,0.15,0,41.88,1,1,0.13538
312,0,facenet,0.15,0,49.32,1,1,0.29554
313,0,facenet,0.15,0,9.75,1,1,-0.28668
314,0,facenet,0.15,0,11.71,1,1,-0.17708
315,0,facenet,0.15,0,6.58,1,1,-0.12782
316,0,facenet,0.15,0,5.97,1,1,0.07427
317,0,facenet,0.15,0,17.74,1,1,0.08618
318,0,facenet,0.15,0,24.17,1,1,-0.19184
319,0,facenet,0.15,0,12.61,1,1,-0.33982
320,0,facenet,0.15,0,20.02,1,1,0.02758
321,0,facenet,0.15,0,51.93,1,1,-0.13823
322,0,facenet,0.15,0,55.69,1,1,-0.33952
323,0,facenet,0.15,0,12.54,1,1,0.01122
324,0,facenet,0.15,0,-0.17,1,1,0.02681
325,0,facenet,0.15,0,-13.04,1,1,-0.16598
326,0,facenet,0.15,0,-36.06,1,1,-0.01908
327,0,facenet,0.15,0,21.6,1,1,-0.00615
328,0,facenet,0.15,0,38.72,1,1,-0.16959
329,0,facenet,0.15,0,22.2,1,1,-0.12989
330,0,facenet,0.15,0,16.67,1,1,-0.26427
331,0,facenet,0.15,0,46.95,1,1,-0.0662
332,0,facenet,0.15,0,27.21,1,1,-0.13574
333,0,facenet,0.15,0,31.45,1,1,-0.19605
334,0,facenet,0.15,0,43.94,1,1,0.20939
335,0,facenet,0.15,0,-11.66,1,1,0.02806
336,0,facenet,0.15,0,43.4,1,1,-0.04986
337,0,facenet,0.15,0,-1.3,1,1,-0.22905
338,0,facenet,0.15,0,5.29,1,1,-0.02663
339,0,facenet,0.15,0,9.0,1,1,-0.02992
340,0,facenet,0.15,0,24.47,1,1,0.03947
341,0,facenet,0.15,0,14.86,1,1,-0.02619
342,0,facenet,0.15,0,28.31,1,1,0.15029
343,0,facenet,0.15,0,41.91,1,1,-0.00069
344,0,facenet,0.15,0,22.73,1,1,0.37569
345,0,facenet,0.15,0,32.85,1,1,-0.26535
346,0,facenet,0.15,0,43.89,1,1,0.14396
347,0,facenet,0.15,0,22.38,1,1,0.10054
348,0,facenet,0.15,0,24.56,1,1,-0.04704
349,0,facenet,0.15,0,25.43,1,1,0.02849
350,0,facenet,0.15,0,46.76,1,1,-0.06041
351,0,facenet,0.15,0,24.05,1,1,-0.07998
352,0,facenet,0.15,0,-16.05,1,1,0.18175
353,0,facenet,0.15,0,28.67,1,1,0.24173
354,0,facenet,0.15,0,32.28,1,1,0.01786
355,0,facenet,0.15,0,3.52,1,1,0.05837
356,0,facenet,0.15,0,11.5,1,1,-0.01716
357,0,facenet,0.15,0,40.69,1,1,0.01981
358,0,facenet,0.15,0,57.13,1,1,0.04717
359,0,facenet,0.15,0,27.51,1,1,0.01025
360,0,facenet,0.15,0,46.87,1,1,-0.27523
361,0,facenet,0.15,0,12.67,1,1,0.05717
362,0,facenet,0.15,0,22.54,1,1,0.18199
363,0,facenet,0.15,0,22.55,1,1,0.26062
364,0,facenet,0.15,0,43.29,1,1,0.21909
365,0,facenet,0.15,0,30.99,1,1,0.02483
366,0,facenet,0.15,0,5.95,1,1,0.00986
367,0,facenet,0.15,0,18.65,1,1,0.00854
368,0,facenet,0.15,0,40.48,1,1,-0.0139
369,0,facenet,0.15,0,54.1,1,1,0.01457
370,0,facenet,0.15,0,35.03,1,1,-0.11226
371,0,facenet,0.15,0,32.31,1,1,-0.13228
372,0,facenet,0.15,0,45.84,1,1,0.06705
373,0,facenet,0.15,0,36.48,1,1,0.22837
374,0,facenet,0.15,0,43.2,1,1,0.04568
375,0,facenet,0.15,0,-2.96,1,1,-0.01056
376,0,facenet,0.15,0,9.31,1,1,0.10115
377,0,facenet,0.15,0,24.59,1,1,0.10394
378,0,facenet,0.15,0,4.38,1,1,-0.08354
379,0,facenet,0.15,0,-7.98,1,1,-0.41513
380,0,facenet,0.15,0,26.53,1,1,0.41058
381,0,facenet,0.15,0,30.09,1,1,0.14189
382,0,facenet,0.15,0,34.34,1,1,0.35004
383,0,facenet,0.15,0,41.97,1,1,-0.034
384,0,facenet,0.15,0,41.73,1,1,0.1266
385,0,facenet,0.15,0,30.23,1,1,0.2134
386,0,facenet,0.15,0,37.84,1,1,-0.12034
387,0,facenet,0.15,0,20.3,1,1,0.03691
388,0,facenet,0.15,0,-14.65,1,1,0.00948
389,0,facenet,0.15,0,7.73,1,1,-0.03444
390,0,facenet,0.15,0,12.41,1,1,0.10415
391,0,facenet,0.15,0,11.14,1,1,-0.01906
392,0,facenet,0.15,0,20.63,1,1,-0.02133
393,0,facenet,0.15,0,4.31,1,1,0.00224
394,0,facenet,0.15,0,29.55,1,1,-0.07428
395,0,facenet,0.15,0,27.36,1,1,0.02788
396,0,facenet,0.15,0,-2.44,1,1,0.00104
397,0,facenet,0.15,0,37.05,1,1,0.26324
398,0,facenet,0.15,0,40.01,1,1,0.15775
399,0,facenet,0.15,0,23.6,1,1,0.03417
400,0,facenet,0.15,0,39.95,1,1,0.01181
401,0,facenet,0.15,0,1.67,1,1,0.09843
402,0,facenet,0.15,0,46.6,1,1,0.09453
403,0,facenet,0.15,0,20.53,1,1,0.08415
404,0,facenet,0.15,0,22.51,1,1,-0.03786
405,0,facenet,0.15,0,29.19,1,1,0.28853
406,0,facenet,0.15,0,-10.91,1,1,-0.06911
407,0,facenet,0.15,0,-3.85,1,1,0.12368
408,0,facenet,0.15,0,21.38,1,1,0.10808
409,0,facenet,0.15,0,32.43,1,1,-0.03854
410,0,facenet,0.15,0,35.41,1,1,-0.05996
411,0,facenet,0.15,0,37.84,1,1,0.19684
412,0,facenet,0.15,0,4.27,1,1,-0.08894
413,0,facenet,0.15,0,-15.96,1,1,0.07548
414,0,facenet,0.15,0,-2.56,1,1,-0.06618
415,0,facenet,0.15,0,8.27,1,1,0.11926
416,0,facenet,0.15,0,1.77,1,1,0.19423
417,0,facenet,0.15,0,9.32,1,1,-0.02475
418,0,facenet,0.15,0,24.88,1,1,-0.12866
419,0,facenet,0.15,0,25.27,1,1,-0.02569
420,0,facenet,0.15,0,34.06,1,1,0.2537
421,0,facenet,0.15,0,49.97,1,1,-0.12494
422,0,facenet,0.15,0,26.33,1,1,0.09149
423,0,facenet,0.15,0,2.07,1,1,-0.16721
424,0,facenet,0.15,0,11.58,1,1,0.25968
425,0,facenet,0.15,0,17.29,1,1,-0.05256
426,0,facenet,0.15,0,18.28,1,1,0.03044
427,0,facenet,0.15,0,-23.04,1,1,0.41714
428,0,facenet,0.15,0,3.97,1,1,-0.21575
429,0,facenet,0.15,0,17.95,1,1,-0.04078
430,0,facenet,0.15,0,81.25,1,1,0.085
431,0,facenet,0.15,0,32.89,1,1,0.21925
432,0,facenet,0.15,0,39.97,1,1,-0.19099
433,0,facenet,0.15,0,32.75,1,1,-0.107
434,0,facenet,0.15,0,19.7,1,1,0.28998
435,0,facenet,0.15,0,27.39,1,1,-0.29085
436,0,facenet,0.15,0,1.57,1,1,-0.04687
437,0,facenet,0.15,0,53.85,1,1,0.09161
438,0,facenet,0.15,0,40.37,1,1,0.12828
439,0,facenet,0.15,0,61.71,1,1,0.02935
440,0,facenet,0.15,0,17.49,1,1,0.24219
441,0,facenet,0.15,0,20.77,1,1,-0.13773
442,0,facenet,0.15,0,-8.73,1,1,-0.27721
443,0,facenet,0.15,0,54.73,1,1,-0.08368
444,0,facenet,0.15,0,21.09,1,1,-0.01722
445,0,facenet,0.15,0,29.15,1,1,0.02194
446,0,facenet,0.15,0,26.31,1,1,-0.04176
447,0,facenet,0.15,0,37.92,1,1,-0.12033
448,0,facenet,0.15,0,21.48,1,1,-0.11554
449,0,facenet,0.15,0,59.12,1,1,0.07886
450,0,facenet,0.15,0,22.51,1,1,-0.11057
451,0,facenet,0.15,0,-1.94,1,1,0.10526
452,0,facenet,0.15,0,29.62,1,1,0.06082
453,0,facenet,0.15,0,-12.85,1,1,-0.16066
454,0,facenet,0.15,0,7.28,1,1,0.24929
455,0,facenet,0.15,0,-5.54,1,1,-0.21508
456,0,facenet,0.15,0,-3.59,1,1,-0.15029
457,0,facenet,0.15,0,34.57,1,1,0.00331
458,0,facenet,0.15,0,-34.04,1,1,-0.09495
459,0,facenet,0.15,0,45.98,1,1,-0.27347
460,0,facenet,0.15,0,27.58,1,1,0.16349
461,0,facenet,0.15,0,36.06,1,1,0.24223
462,0,facenet,0.15,0,13.19,1,1,0.20818
463,0,facenet,0.15,0,35.89,1,1,0.02387
464,0,facenet,0.15,0,22.03,1,1,0.02211
465,0,facenet,0.15,0,-17.93,1,1,-0.00913
466,0,facenet,0.15,0,-10.46,1,1,0.02652
467,0,facenet,0.15,0,-31.05,1,1,0.26025
468,0,facenet,0.15,0,32.59,1,1,-0.0198
469,0,facenet,0.15,0,34.22,1,1,0.15089
470,0,facenet,0.15,0,44.86,1,1,0.00274
471,0,facenet,0.15,0,18.73,1,1,0.1525
472,0,facenet,0.15,0,42.97,1,1,-0.17658
473,0,facenet,0.15,0,30.43,1,1,-0.14841
474,0,facenet,0.15,0,20.24,1,1,-0.07353
475,0,facenet,0.15,0,22.04,1,1,-0.37954
476,0,facenet,0.15,0,15.8,1,1,0.32407
477,0,facenet,0.15,0,30.14,1,1,0.04418
478,0,facenet,0.15,0,20.47,1,1,-0.15416
479,0,facenet,0.15,0,14.9,1,1,0.11678
480,0,facenet,0.15,0,22.43,1,1,-0.14432
481,0,facenet,0.15,0,25.31,1,1,0.33378
482,0,facenet,0.15,0,7.92,1,1,-0.14812
483,0,facenet,0.15,0,26.39,1,1,-0.20335
484,0,facenet,0.15,0,8.98,1,1,0.0887
485,0,facenet,0.15,0,39.33,1,1,0.19316
486,0,facenet,0.15,0,25.5,1,1,0.12198
487,0,facenet,0.15,0,51.43,1,1,0.28718
488,0,facenet,0.15,0,24.13,1,1,-0.16398
489,0,facenet,0.15,0,16.64,1,1,0.02569
490,0,facenet,0.15,0,39.16,1,1,0.10168
491,0,facenet,0.15,0,32.53,1,1,0.0564
492,0,facenet,0.15,0,42.19,1,1,0.02314
493,0,facenet,0.15,0,46.94,1,1,0.24351
494,0,facenet,0.15,0,-1.71,1,1,0.01478
495,0,facenet,0.15,0,7.02,1,1,-0.06225
496,0,facenet,0.15,0,26.21,1,1,-0.16827
497,0,facenet,0.15,0,23.59,1,1,0.04962
498,0,facenet,0.15,0,28.61,1,1,0.07231
499,0,facenet,0.15,0,26.35,1,1,-0.04989
500,0,facenet,0.15,0,33.52,1,1,0.1929
501,0,facenet,0.15,0,29.35,1,1,-0.04489
502,0,facenet,0.15,0,14.17,1,1,0.15933
503,0,facenet,0.15,0,28.58,1,1,0.1183
504,0,facenet,0.15,0,29.07,1,1,0.30221
505,0,facenet,0.15,0,30.15,1,1,0.05733
506,0,facenet,0.15,0,29.81,1,1,0.15168
507,0,facenet,0.15,0,7.58,1,1,-0.02249
508,0,facenet,0.15,0,-19.42,1,1,-0.11986
