country,year,program,tier,stipend_annual_local,currency,tax_status,source,source_url,accessed,note
CA,2023,PGS-D (NSERC Postgraduate Scholarship doctoral),national_broad,21000,CAD,tax_exempt,Government of Canada (tri-agency),https://www.canada.ca/en/innovation-science-economic-development/news/2024/05/government-of-canada-announces-details-of-increase-in-award-values-for-federal-scholarships-and-fellowships.html,2026-07-01,pre-increase value
CA,2024,PGS-D (NSERC Postgraduate Scholarship doctoral),national_broad,40000,CAD,tax_exempt,Government of Canada (tri-agency),https://www.canada.ca/en/innovation-science-economic-development/news/2024/05/government-of-canada-announces-details-of-increase-in-award-values-for-federal-scholarships-and-fellowships.html,2026-07-01,harmonized to 40000 effective 2024-09-01
CA,2025,PGS-D (NSERC Postgraduate Scholarship doctoral),national_broad,40000,CAD,tax_exempt,Government of Canada (tri-agency),https://www.canada.ca/en/innovation-science-economic-development/news/2024/05/government-of-canada-announces-details-of-increase-in-award-values-for-federal-scholarships-and-fellowships.html,2026-07-01,harmonized CGRS-D value
AU,2019,RTP stipend base rate,national_floor,27596,AUD,tax_free,Australian Government Department of Education,https://www.education.gov.au/research-block-grants/resources/historical-stipend-rates-postgraduate-scholarships,2026-07-01,full-time base rate indexed from 1 Jan; historical-rates table (live second-source confirmation pending)
AU,2020,RTP stipend base rate,national_floor,28092,AUD,tax_free,Australian Government Department of Education,https://www.education.gov.au/research-block-grants/resources/historical-stipend-rates-postgraduate-scholarships,2026-07-01,full-time base rate indexed from 1 Jan; historical-rates table (live second-source confirmation pending)
AU,2021,RTP stipend base rate,national_floor,28597,AUD,tax_free,Australian Government Department of Education,https://www.education.gov.au/research-block-grants/resources/historical-stipend-rates-postgraduate-scholarships,2026-07-01,full-time base rate indexed from 1 Jan
AU,2022,RTP stipend base rate,national_floor,28854,AUD,tax_free,Australian Government Department of Education,https://www.education.gov.au/research-block-grants/resources/historical-stipend-rates-postgraduate-scholarships,2026-07-01,full-time base rate indexed from 1 Jan; historical-rates table (live second-source confirmation pending)
AU,2023,RTP stipend base rate,national_floor,29863,AUD,tax_free,Australian Government Department of Education,https://www.education.gov.au/research-block-grants/resources/historical-stipend-rates-postgraduate-scholarships,2026-07-01,full-time base rate indexed from 1 Jan
AU,2024,RTP stipend base rate,national_floor,32192,AUD,tax_free,Australian Government Department of Education,https://www.education.gov.au/research-block-grants/resources/historical-stipend-rates-postgraduate-scholarships,2026-07-01,full-time base rate indexed from 1 Jan
AU,2025,RTP stipend base rate,national_floor,33637,AUD,tax_free,Australian Government Department of Education,https://www.education.gov.au/research-block-grants/resources/historical-stipend-rates-postgraduate-scholarships,2026-07-01,full-time base rate indexed from 1 Jan
JP,2019,JSPS DC research fellowship,national_selective,2400000,JPY,taxable,Japan Society for the Promotion of Science,https://www.jsps.go.jp/english/e-pd/,2026-07-01,200000 yen per month; DC1/DC2 flagship doctoral fellowship
JP,2020,JSPS DC research fellowship,national_selective,2400000,JPY,taxable,Japan Society for the Promotion of Science,https://www.jsps.go.jp/english/e-pd/,2026-07-01,200000 yen per month; DC1/DC2 flagship doctoral fellowship
JP,2021,JSPS DC research fellowship,national_selective,2400000,JPY,taxable,Japan Society for the Promotion of Science,https://www.jsps.go.jp/english/e-pd/,2026-07-01,200000 yen per month; DC1/DC2 flagship doctoral fellowship
JP,2022,JSPS DC research fellowship,national_selective,2400000,JPY,taxable,Japan Society for the Promotion of Science,https://www.jsps.go.jp/english/e-pd/,2026-07-01,200000 yen per month; DC1/DC2 flagship doctoral fellowship
JP,2023,JSPS DC research fellowship,national_selective,2400000,JPY,taxable,Japan Society for the Promotion of Science,https://www.jsps.go.jp/english/e-pd/,2026-07-01,200000 yen per month; DC1/DC2 flagship doctoral fellowship
JP,2024,JSPS DC research fellowship,national_selective,2400000,JPY,taxable,Japan Society for the Promotion of Science,https://www.jsps.go.jp/english/e-pd/,2026-07-01,200000 yen per month; DC1/DC2 flagship doctoral fellowship
JP,2025,JSPS DC research fellowship,national_selective,2400000,JPY,taxable,Japan Society for the Promotion of Science,https://www.jsps.go.jp/english/e-pd/,2026-07-01,200000 yen per month; DC1/DC2 flagship doctoral fellowship
